Fahrten,Namen
154,Bern - Moosseedorf
7,Moosseedorf - Thun
5,Moosseedorf - Münsingen
2,Freimettigen - Moosseedorf
2,Moosseedorf - Olten
1,Köniz - Moosseedorf
1,Herzogenbuchsee - Moosseedorf
1,Moosseedorf - Steffisburg
1,Laupen - Moosseedorf
1,Düdingen - Moosseedorf
1,Moosseedorf - Wünnewil-Flamatt
1,Moosseedorf - Rubigen
1,Moosseedorf - Spiez
1,Greng - Moosseedorf
1,Langenthal - Moosseedorf
1,Langnau im Emmental - Moosseedorf
1,Moosseedorf - Zürich
0,Kloten - Moosseedorf
0,Moosseedorf - Schwarzenburg
0,Fribourg - Moosseedorf
