Fahrten,Namen
1896,RE5 (Regionalverkehr Bern-Solothurn)
224,20 (Städtische Verkehrsbetriebe Bern)
150,7 (Busbetrieb Solothurn und Umgebung)
121,S20 (Schweizerische Bundesbahnen SBB)
108,2 (Busbetrieb Solothurn und Umgebung)
104,5 (Busbetrieb Solothurn und Umgebung)
92,465 (Busland AG)
89,12 (Städtische Verkehrsbetriebe Bern)
83,884 (Autobusbetrieb RBS)
81,S11 (Aare Seeland mobil (snb))
62,8 (Städtische Verkehrsbetriebe Bern)
52,10 (Städtische Verkehrsbetriebe Bern)
48,1 (Busbetrieb Solothurn und Umgebung)
38,6 (Städtische Verkehrsbetriebe Bern)
33,S41 (BLS AG (bls))
22,IR35 (Schweizerische Bundesbahnen SBB)
22,RE1 (BLS AG (bls))
21,8 (Autobusbetrieb RBS)
19,4 (Busbetrieb Solothurn und Umgebung)
17,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
