Fahrten,Namen
80,S7 (Regionalverkehr Bern-Solothurn)
2,RE1 (BLS AG (bls))
1,S31 (BLS AG (bls))
1,IC61 (Schweizerische Bundesbahnen SBB)
1,IR65 (BLS AG (bls))
1,5 (STI Bus AG)
1,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
0,10 (Städtische Verkehrsbetriebe Bern)
0,EC (Schweizerische Bundesbahnen SBB)
0,S2 (BLS AG (bls))
0,765 (Verkehrsbetriebe Glattal)
0,IC1 (Schweizerische Bundesbahnen SBB)
0,S6 (BLS AG (bls))
0,RE5 (Regionalverkehr Bern-Solothurn)
0,IC81 (Schweizerische Bundesbahnen SBB)
0,1 (STI Bus AG)
0,4 (Verkehrsbetriebe Zürich INFO+)
0,IC8 (Schweizerische Bundesbahnen SBB)
0,IC21 (Schweizerische Bundesbahnen SBB)
0,2 (Verkehrsbetriebe Biel)
