Fahrten,Namen
365,Bern - Jegenstorf
64,Bern - Fraubrunnen
30,Jegenstorf - Köniz
12,Jegenstorf - Thun
2,Fraubrunnen - Köniz
2,Jegenstorf - Langenthal
1,Jegenstorf - Steffisburg
1,Fraubrunnen - Ostermundigen
1,Bern - Messen
1,Jegenstorf - Langnau im Emmental
1,Jegenstorf - Münsingen
1,Jegenstorf - Luzern
1,Freimettigen - Jegenstorf
1,Bremgarten bei Bern - Jegenstorf
1,Jegenstorf - Wünnewil-Flamatt
1,Bremgarten bei Bern - Fraubrunnen
1,Jegenstorf - Kloten
1,Jegenstorf - Wohlen bei Bern
1,Birmenstorf (AG) - Jegenstorf
1,Jegenstorf - Zürich
