Fahrten,Namen
1496,RE5 (Regionalverkehr Bern-Solothurn)
162,20 (Städtische Verkehrsbetriebe Bern)
150,7 (Busbetrieb Solothurn und Umgebung)
145,5 (Busbetrieb Solothurn und Umgebung)
127,S20 (Schweizerische Bundesbahnen SBB)
123,2 (Busbetrieb Solothurn und Umgebung)
86,S11 (Aare Seeland mobil (snb))
66,12 (Städtische Verkehrsbetriebe Bern)
61,8 (Städtische Verkehrsbetriebe Bern)
56,1 (Busbetrieb Solothurn und Umgebung)
53,10 (Städtische Verkehrsbetriebe Bern)
41,S7 (Regionalverkehr Bern-Solothurn)
33,S41 (BLS AG (bls))
32,S2 (BLS AG (bls))
31,6 (Städtische Verkehrsbetriebe Bern)
23,7 (Städtische Verkehrsbetriebe Bern)
22,S31 (BLS AG (bls))
21,8 (Autobusbetrieb RBS)
19,RE1 (BLS AG (bls))
19,4 (Busbetrieb Solothurn und Umgebung)
