Fahrten,Namen
2896,S8 (Regionalverkehr Bern-Solothurn)
138,10 (Städtische Verkehrsbetriebe Bern)
120,IR65 (BLS AG (bls))
107,IC61 (Schweizerische Bundesbahnen SBB)
91,RE1 (BLS AG (bls))
88,38 (Autobusbetrieb RBS)
79,IC6 (Schweizerische Bundesbahnen SBB)
75,IR17 (BLS AG (bls))
73,12 (Städtische Verkehrsbetriebe Bern)
60,S5 (BLS AG (bls))
59,7 (Städtische Verkehrsbetriebe Bern)
56,S2 (BLS AG (bls))
55,S3 (BLS AG (bls))
54,S7 (Regionalverkehr Bern-Solothurn)
48,EC (Schweizerische Bundesbahnen SBB)
45,S31 (BLS AG (bls))
42,S6 (BLS AG (bls))
37,1 (STI Bus AG)
33,8 (Städtische Verkehrsbetriebe Bern)
32,IC1 (Schweizerische Bundesbahnen SBB)
