Fahrten,Namen
44,Bern - Fraubrunnen
11,Fraubrunnen - Mattstetten
9,Fraubrunnen - Jegenstorf
8,Burgdorf - Fraubrunnen
5,Fraubrunnen - Kirchberg (BE)
5,Bätterkinden - Fraubrunnen
5,Fraubrunnen - Rapperswil (BE)
4,Fraubrunnen - Ittigen
3,Fraubrunnen - Ostermundigen
3,Fraubrunnen - Utzenstorf
3,Fraubrunnen - Solothurn
2,Fraubrunnen - Lyssach
2,Fraubrunnen - Moosseedorf
2,Biberist - Fraubrunnen
1,Fraubrunnen - Worb
1,Fraubrunnen - Härkingen
1,Fraubrunnen - Zollikofen
1,Fraubrunnen - Zuchwil
1,Fraubrunnen - Grenchen
1,Fraubrunnen - Lohn-Ammannsegg
